"","Event_Id","Link"
"1",1,"https://results.runningevents.co.nz/list/tauranga/2022/21km"
"2",1,"https://results.runningevents.co.nz/list/tauranga/2022/10km"
"3",2,"https://results.runningevents.co.nz/list/devonport/2022/21km"
"4",2,"https://results.runningevents.co.nz/list/devonport/2022/10km"
"5",3,"https://results.runningevents.co.nz/list/runorewa/2022/15km"
"6",3,"https://results.runningevents.co.nz/list/runorewa/2022/10km"
"7",4,"https://results.runningevents.co.nz/list/ccwellington/2020/5km"
"8",5,"https://results.runningevents.co.nz/list/ccchristchurch/2021/5km"
"9",6,"https://results.runningevents.co.nz/list/ccauckland/2020/5km"
"10",7,"https://results.runningevents.co.nz/list/runthepoint/2021r2/15km"
"11",7,"https://results.runningevents.co.nz/list/runthepoint/2021r2/15km"
"12",8,"https://results.runningevents.co.nz/list/omaha/2021/21km"
"13",8,"https://results.runningevents.co.nz/list/omaha/2021/10km"
"14",9,"https://results.runningevents.co.nz/list/rundevonport/2022/15km"
"15",9,"https://results.runningevents.co.nz/list/rundevonport/2022/10km"
"16",10,"https://results.runningevents.co.nz/list/coatesville/2022/21km"
"17",11,"https://results.runningevents.co.nz/list/maraetai/2022/21km"
"18",11,"https://results.runningevents.co.nz/list/maraetai/2022/10km"
"19",12,"https://results.runningevents.co.nz/list/runalbany/2022/15km"
"20",12,"https://results.runningevents.co.nz/list/runalbany/2022/10km"
"21",13,"https://results.runningevents.co.nz/list/waterfront/2022/21km"
"22",13,"https://results.runningevents.co.nz/list/waterfront/2022/10km"
