,Event,Link,Date,Participants,Location,City
1,Tauranga Marathon,https://taurangamarathon.nz,18/09/2022,1570,Tauranga,Tauranga
2,Devonport Half Marathon,https://devonporthalfmarathon.co.nz,2/10/2022,1268,Devonport,Auckland
3,Run Orewa,https://runorewa.nz,16/10/2022,834,Orewa,Auckland
4,Corporate Challenge Wellington,https://corporatechallenge.co.nz,11/11/2020,393,Wellington,Wellington
5,Corporate Challenge Christchurch,https://corporatechallenge.co.nz,16/02/2022,767,Christchurch,Christchurch
6,Corporate Challenge Auckland,https://corporatechallenge.co.nz,18/11/2020,938,Auckland,Auckland
7,Run The Point,https://runthepoint.nz,20/02/2022,771,Hobsonville,Auckland
8,Omaha Half Marathon,https://omahahalfmarathon.co.nz,27/03/2022,1689,Omaha,Auckland
9,Run Devonport,https://rundevonport.nz,7/02/2022,768,Devonport,Auckland
10,Coatesville Half Marathon,https://coatesvillehalfmarathon.co.nz,13/02/2022,1270,Coatesville,Auckland
11,Maraetai Half Marathon,https://maraetaihalfmarathon.co.nz,13/03/2022,1359,Maraetai,Auckland
12,Run Albany,https://runalbany.nz,20/03/2022,792,Albany,Auckland
13,Waterfront Half Marathon,https://waterfronthalfmarathon.co.nz,10/04/2022,2147,Auckland,Auckland
